City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,williamsburg,37.2707,-76.7075,275.47,36,0,4.63,US,1675541939
295,bam,29.106,58.357,286.23,42,0,0.08,IR,1675541820
296,sao joao da barra,-21.6403,-41.0511,304.2,83,7,6.26,BR,1675541695
297,raton,36.9034,-104.4391,286.11,18,0,4.12,US,1675541991
298,damara,4.9608,18.7035,300.18,18,20,0.63,CF,1675541991
299,sola,-13.8833,167.55,300.58,83,100,11.54,VU,1675541991
300,margate,51.3813,1.3862,281.65,75,100,0.45,GB,1675541969
301,cetraro,39.5166,15.9416,278.52,76,9,4.53,IT,1675541992
302,kachug,53.9606,105.8817,251.96,100,96,1.19,RU,1675541992
303,hanna,51.6334,-111.9018,275.29,70,100,4.02,CA,1675541991
304,tautira,-17.7333,-149.15,299.37,78,56,6.16,PF,1675541806
305,buraydah,26.326,43.975,287.4,33,0,7.14,SA,1675541993
306,chingirlau,51.095,54.0814,260.93,87,100,4.69,KZ,1675541993
307,tonantins,-2.8731,-67.8022,299.72,93,100,0.53,BR,1675541917
308,tambovka,50.0969,128.0489,246.85,100,85,1.98,RU,1675541994
309,chakulia,22.4833,86.7167,290.68,27,99,0.98,IN,1675541994
310,pimentel,-6.8367,-79.9342,300.31,61,0,8.75,PE,1675541995
311,pringsewu,-5.3582,104.9744,296.26,91,100,0.67,ID,1675541860
312,biak,-0.9131,122.8766,297.22,84,100,1.36,ID,1675541859
313,ventspils,57.3894,21.5606,271.11,86,75,3.09,LV,1675541995
314,san jose,37.3394,-121.895,291.91,70,75,8.23,US,1675541870
315,quelimane,-17.8786,36.8883,300.12,89,20,2.06,MZ,1675541996
316,kaitangata,-46.2817,169.8464,294.63,68,100,2.5,NZ,1675541747
317,fortuna,40.5982,-124.1573,288.9,59,100,6.26,US,1675541857
318,kavieng,-2.5744,150.7967,300.54,73,97,2.0,PG,1675541754
319,evensk,61.95,159.2333,253.9,82,100,3.73,RU,1675541996
320,tchibanga,-2.85,11.0333,296.16,97,99,1.17,GA,1675541996
321,progreso,21.2833,-89.6667,295.21,72,66,7.7,MX,1675541997
322,dhidhdhoo,6.8833,73.1,299.95,78,98,2.23,MV,1675541792
